Replay step,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Failure probability,Risk state,Maintenance recommendation,Actual Machine failure
1,L,301.0,310.9,1473.0,44.2,116.0,0.0012469971552491188,NORMAL,No immediate maintenance action required.,0
2,L,300.5,310.5,2633.0,12.2,17.0,0.9518808126449585,HIGH FAILURE RISK,Preventive inspection and maintenance should be prioritized.,1
3,L,303.7,312.7,1359.0,56.8,194.0,0.8185907602310181,HIGH FAILURE RISK,Preventive inspection and maintenance should be prioritized.,1
4,L,297.2,308.3,1419.0,39.7,115.0,0.00019507633987814188,NORMAL,No immediate maintenance action required.,0
5,L,301.3,310.4,1414.0,51.4,199.0,0.30809444189071655,NORMAL,No immediate maintenance action required.,0
6,L,300.9,310.8,1482.0,37.0,5.0,0.0008541534771211445,NORMAL,No immediate maintenance action required.,0
7,M,302.1,310.7,1364.0,47.8,213.0,0.27146026492118835,NORMAL,No immediate maintenance action required.,1
8,H,302.2,311.5,1482.0,42.6,16.0,0.005740002263337374,NORMAL,No immediate maintenance action required.,0
9,L,298.5,309.4,1360.0,60.9,187.0,0.9506027698516846,HIGH FAILURE RISK,Preventive inspection and maintenance should be prioritized.,1
10,L,302.4,310.2,1351.0,45.1,168.0,0.9034942388534546,HIGH FAILURE RISK,Preventive inspection and maintenance should be prioritized.,1
11,L,298.0,308.5,1429.0,37.7,220.0,0.40135496854782104,NORMAL,No immediate maintenance action required.,1
12,L,299.7,309.1,1417.0,50.1,187.0,0.04758138954639435,NORMAL,No immediate maintenance action required.,0
13,L,301.8,310.2,1457.0,40.4,213.0,0.27076131105422974,NORMAL,No immediate maintenance action required.,0
14,H,296.9,307.8,1549.0,35.8,206.0,0.18129542469978333,NORMAL,No immediate maintenance action required.,1
15,L,302.3,311.0,1657.0,31.1,3.0,0.0009285211563110352,NORMAL,No immediate maintenance action required.,0
16,L,301.9,310.5,1340.0,55.7,204.0,0.869576096534729,HIGH FAILURE RISK,Preventive inspection and maintenance should be prioritized.,1
17,L,302.5,311.5,1985.0,18.8,190.0,0.024914244189858437,NORMAL,No immediate maintenance action required.,0
18,L,300.6,311.9,1372.0,60.1,212.0,0.9861741662025452,HIGH FAILURE RISK,Preventive inspection and maintenance should be prioritized.,1
19,M,302.2,310.6,1346.0,49.2,134.0,0.495915025472641,NORMAL,No immediate maintenance action required.,1
20,L,300.6,310.8,1375.0,53.2,179.0,0.07826150208711624,NORMAL,No immediate maintenance action required.,0
